method,family,split,num_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,auprc_mean,auprc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std
mlp_threshold_tuned_balanced_accuracy,dd_lstm_shortest_path_delta,test-extrapolation,3,0.7426129426129426,0.05459500486039112,0.6839133089133088,0.07392888897945803,0.8367011498879631,0.028727991694349562,0.5461646282745009,0.032072376535676815,0.44268952578452164,0.09987302497546194,0.4766154913695897,0.13456869602891436,0.5860805860805861,0.28455354212055717
mlp_threshold_tuned_balanced_accuracy,dd_lstm_shortest_path_delta,test-interpolation,3,0.8961538461538462,0.02198260025574648,0.8846153846153846,0.01991955592092318,0.9536489151873768,0.0030387143380037956,0.8913369743583455,0.011218517482749947,0.7716225702288421,0.024279841919181488,0.7130890134564355,0.09844058686558042,0.8653846153846154,0.08158924398306319
mlp_threshold_tuned_balanced_accuracy,dd_lstm_shortest_path_delta,train,3,0.9763552479815455,0.008186314628937907,0.9819773019773019,0.0019897423931116154,0.9992761592761593,0.00019183579645594854,0.9970798543676684,0.0007589022310584408,0.944226266342553,0.018008412072291365,0.9029120198265179,0.043194874510988315,0.9913419913419913,0.012244273267299528
mlp_threshold_tuned_balanced_accuracy,dd_lstm_shortest_path_delta,validation,3,0.9373737373737373,0.015907086614165275,0.9532828282828283,0.00892811592407251,0.9896694214876033,0.0029458794849892976,0.9661063842521588,0.01012402962059308,0.8635714285714285,0.02737370504500911,0.7752265943755305,0.055897566275474805,0.9797979797979798,0.0285699709570322
mlp_threshold_tuned_balanced_accuracy,dd_xgb_wl_delta,test-extrapolation,3,0.8310134310134311,0.012791991065893822,0.5876068376068376,0.03019047431398795,0.8947758590615734,0.006419047707108434,0.6742252283231518,0.024790288014789132,0.2968074202861221,0.0847287733743239,0.8773641173641175,0.09291346138686891,0.18192918192918195,0.06021405619505717
mlp_threshold_tuned_balanced_accuracy,dd_xgb_wl_delta,test-interpolation,3,0.923076923076923,0.019611613513818384,0.9326923076923078,0.025666053490459875,0.979382396449704,0.009991197797484074,0.9397579618081201,0.021744130219291443,0.8319938946515902,0.040611976297112475,0.741505281690141,0.045132317823601,0.9487179487179488,0.03951547437800626
mlp_threshold_tuned_balanced_accuracy,dd_xgb_wl_delta,train,3,0.9826989619377162,0.0014126238424354886,0.9859412659412659,0.005375844597547578,0.999115479115479,0.00026249778705759796,0.9963909472862945,0.0010510789551216855,0.9581320181916215,0.003728611856854473,0.9272131756597731,0.00543752248928926,0.9913419913419913,0.012244273267299528
mlp_threshold_tuned_balanced_accuracy,dd_xgb_wl_delta,validation,3,0.9717171717171716,0.007558903811664528,0.9595959595959597,0.02059281114936881,0.9844658708295072,0.0098158207881461,0.9658340842164371,0.019321229626037308,0.9295631904327557,0.019899324238410687,0.9210858585858586,0.012011551509116458,0.9393939393939394,0.04285495643554835
plan_length_logreg,baseline,test-extrapolation,3,0.7758241758241758,0.0,0.5,0.0,0.46193428061559927,0.0,0.18977191502425492,0.0,0.06707317073170732,0.0,0.20000000000000004,2.7755575615628914e-17,0.040293040293040296,0.0
plan_length_logreg,baseline,test-interpolation,3,0.5461538461538461,0.0,0.5649038461538461,0.0,0.5947670118343196,0.0,0.24805219802651077,2.7755575615628914e-17,0.3444444444444444,5.551115123125783e-17,0.2421875,0.0,0.5961538461538461,0.0
plan_length_logreg,baseline,train,3,0.45588235294117646,0.0,0.5674341874341875,0.0,0.6284661284661285,0.0,0.26553225280180404,0.0,0.35619242579324456,5.551115123125783e-17,0.23324396782841825,2.7755575615628914e-17,0.7532467532467533,0.0
plan_length_logreg,baseline,validation,3,0.3151515151515151,0.0,0.571969696969697,0.0,0.5694444444444444,0.0,0.247058952480306,0.0,0.3687150837988827,0.0,0.22602739726027396,0.0,1.0,0.0
